University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Univerza v Novem mestu Fakulteta za zdravstvene vede,Slovenia,Novo Mesto,Samostojni visokošolski zavod,,"Univerza v Novem mestu Fakulteta za zdravstvene vede is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6200,http://fzv.vs-nm.si/en/home/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Visoka šola za varstvo okolja,Slovenia,Velenje,Samostojni visokošolski zavod,,"Visoka šola za varstvo okolja is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11300,http://www.vsvo.si/?lang=en,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visoka šola za storitve v Ljubljani,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"Visoka šola za storitve v Ljubljani is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6000,http://www.vist.si/info_en.htm,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visoka zdravstvena šola v Celju,Slovenia,Celje,Samostojni visokošolski zavod,,"Visoka zdravstvena šola v Celju is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5900,http://www.vzsce.si/en/,General programmes (field not identifiable from available data),Not Ranked,9999,1
Univerza v Novi Gorici,Slovenia,Nova Gorica,Univerza,,"Univerza v Novi Gorici is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4400,http://www.ung.si/en/,General programmes (field not identifiable from available data),Not Ranked,9999,4
Gea College - Fakulteta za podjetništvo,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"Gea College - Fakulteta za podjetništvo is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6900,http://gea-college.si/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Fakulteta za upravljanje, poslovanje in informatiko Novo mesto",Slovenia,Novo Mesto,Samostojni visokošolski zavod,,"Fakulteta za upravljanje, poslovanje in informatiko Novo mesto is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6800,http://uni-nm.si/en/home/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Fakulteta za komercialne in poslovne vede,Slovenia,Celje,Samostojni visokošolski zavod,,"Fakulteta za komercialne in poslovne vede is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4000,http://www.fkpv.si/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
DOBA Fakulteta za uporabne poslovne in družbene študije,Slovenia,Maribor,Samostojni visokošolski zavod,,"DOBA Fakulteta za uporabne poslovne in družbene študije is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7100,https://www.dobabusiness-school.eu/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Fakulteta za zdravstvo Angele Boškin,Slovenia,Jesenice,Samostojni visokošolski zavod,,"Fakulteta za zdravstvo Angele Boškin is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3800,http://www.fzab.si/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Fakulteta za državne in evropske študije,Slovenia,Kranj,Samostojni visokošolski zavod,,"Fakulteta za državne in evropske študije is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,10300,http://www.fds.si/index.php/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Evropska pravna fakulteta,Slovenia,Nova Gorica,Samostojni visokošolski zavod,,"Evropska pravna fakulteta is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11000,http://www.evro-pf.si/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
AREMA - Visoka šola za regionalni management Rogaška Slatina,Slovenia,Rogaška Slatina,Samostojni visokošolski zavod,,"AREMA - Visoka šola za regionalni management Rogaška Slatina is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11000,http://www.arema.si/default.aspx,"Business, Administration, Law",Not Ranked,9999,1
Visoka šola na Ptuju,Slovenia,Ptuj,Samostojni visokošolski zavod,,"Visoka šola na Ptuju is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5200,http://vsp.scptuj.si/,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visoka šola za upravljanje podeželja Grm Novo mesto,Slovenia,Novo Mesto,Samostojni visokošolski zavod,,"Visoka šola za upravljanje podeželja Grm Novo mesto is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11800,http://vsgrm.unm.si/,General programmes (field not identifiable from available data),Not Ranked,9999,1
B&B Visokošolski zavod Kranj,Slovenia,Kranj,Samostojni visokošolski zavod,,"B&B Visokošolski zavod Kranj is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11500,https://www.bb.si/program/bb-izobrazevanje/varstvo-okolja,General programmes (field not identifiable from available data),Not Ranked,9999,1
Podiplomska šola ZRC SAZU,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"Podiplomska šola ZRC SAZU is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7600,http://www.ps-zrc-sazu.org/,General programmes (field not identifiable from available data),Not Ranked,9999,1
MLC Fakulteta za management in pravo Ljubljana,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"MLC Fakulteta za management in pravo Ljubljana is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7100,http://www.mlcljubljana.com/,"Business, Administration, Law",Not Ranked,9999,1
Visoka šola za gradbeno inženirstvo Kranj,Slovenia,Kranj,Samostojni visokošolski zavod,,"Visoka šola za gradbeno inženirstvo Kranj is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,10500,http://vsgi.si/,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visokošolski zavod Fizioterapevtika,Slovenia,Medvode,Samostojni visokošolski zavod,,"Visokošolski zavod Fizioterapevtika is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5700,http://www.fizioterapevtika.si/,General programmes (field not identifiable from available data),Not Ranked,9999,1
Akademija za vizualne umetnosti - AVA,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"Akademija za vizualne umetnosti - AVA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3700,http://ava.si/en/,General programmes (field not identifiable from available data),Not Ranked,9999,1
"B2 Visoka šola za poslovne vede, zavod",Slovenia,Ljubljana,Samostojni visokošolski zavod,,"B2 Visoka šola za poslovne vede, zavod is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5000,http://www.vspv.si/eng/vspv.aspx,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visoka šola za računovodstvo in finance,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"Visoka šola za računovodstvo in finance is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3700,http://www.vsr.si/index.php?lang=en,"Business, Administration, Law",Not Ranked,9999,1
Visoka šola za tehnologijo polimerov,Slovenia,Slovenj Gradec,Samostojni visokošolski zavod,,"Visoka šola za tehnologijo polimerov is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5700,http://www.ftpo.eu/,General programmes (field not identifiable from available data),Not Ranked,9999,1
"Visoka šola za trajnostni turizem Erudio, samostojni visokošolski zavod",Slovenia,Ljubljana,Samostojni visokošolski zavod,,"Visoka šola za trajnostni turizem Erudio, samostojni visokošolski zavod is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6000,http://www.erudio.si/slovenscina/visoka-sola-za-trajnostni-turizem/visoka-sola-za-trajnostni-turizem-erudio,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visoka šola za zdravstvene vede Slovenj Gradec,Slovenia,Slovenj Gradec,Samostojni visokošolski zavod,,"Visoka šola za zdravstvene vede Slovenj Gradec is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,8400,https://www.fzsv.si/en/,General programmes (field not identifiable from available data),Not Ranked,9999,1
IBS Mednarodna poslovna šola Ljubljana,Slovenia,Ljubljana,Samostojni visokošolski zavod,,"IBS Mednarodna poslovna šola Ljubljana is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,9600,http://www.ibs.si/index.php/en,General programmes (field not identifiable from available data),Not Ranked,9999,1
"IAM Visoka šola za multimedije, Ljubljana",Slovenia,Ljubljana,Samostojni visokošolski zavod,,"IAM Visoka šola za multimedije, Ljubljana is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,9100,http://www.iam.si/about,General programmes (field not identifiable from available data),Not Ranked,9999,1
Visoka šola Ravne na Koroškem,Slovenia,Ravne Na Koroškem,Samostojni visokošolski zavod,,"Visoka šola Ravne na Koroškem is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5100,https://visjasolaravne.si,General programmes (field not identifiable from available data),Not Ranked,9999,1
Dubnický Technologický Inštitút V Dubnici Nad Váhom,Slovakia,Dubnica nad Váhom,Vysoká škola,,"Dubnický Technologický Inštitút V Dubnici Nad Váhom is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3100,http://www.dti.sk,"Engineering, Manufacturing, Construction",Not Ranked,9999,1
Access to Music Limited,United Kingdom,Manchester,Alternative provider,,"Access to Music Limited is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,22400,http://www.accesscreative.ac.uk/,Arts & Humanities,Not Ranked,9999,0
Leeds College of Art,United Kingdom,Leeds,University college,,"Leeds College of Art is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24300,http://www.leeds-art.ac.uk,"Arts & Humanities, Social Sciences, Journalism, Information",Not Ranked,9999,0
Grafton College,United Kingdom,London,Alternative provider,,"Grafton College is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,21500,http://www.graftoncollege.com/,"Business, Administration, Law",Not Ranked,9999,0
Haute Ecole de Bruxelles,Belgium,Brussels,Hautes Ecoles,,"Haute Ecole de Bruxelles is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.","Dutch, French / English",Yes,2500,https://www.he2b.be,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,3
Haute Ecole Paul-Henri Spaak,Belgium,Ixelles,Hautes Ecoles,,"Haute Ecole Paul-Henri Spaak is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.","Dutch, French / English",Yes,7100,http://www.he-spaak.be,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,3
Univerzita Karlova v Praze,Czech Republic,Prague,univerzitní,,"Univerzita Karlova v Praze is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Czech / English,Yes,4300,http://www.cuni.cz/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
"Anglo-americká vysoká škola, o.p.s.",Czech Republic,Prague,neuniverzitní,,"Anglo-americká vysoká škola, o.p.s. is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Czech / English,Yes,4100,http://www.aauni.edu/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Vysoká škola finanční a správní, o.p.s.",Czech Republic,Prague,univerzitní,,"Vysoká škola finanční a správní, o.p.s. is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Czech / English,Yes,9400,http://www.vsfs.cz/,"Business, Administration, Law",Not Ranked,9999,1
"Vysoká škola Karlovy Vary, o.p.s.",Czech Republic,Karlovy Vary,neuniverzitní,,"Vysoká škola Karlovy Vary, o.p.s. is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Czech / English,Yes,6900,http://www.vskv.cz/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Vysoká škola kreativní komunikace, s.r.o.",Czech Republic,Praha,neuniverzitní,,"Vysoká škola kreativní komunikace, s.r.o. is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Czech / English,Yes,4500,https://www.vskk.cz/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Augustana-Hochschule Neuendettelsau (ev),Germany,Neuendettelsau,Theologische Hochschule,,"Augustana-Hochschule Neuendettelsau (ev) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1300,http://www.augustana.de,Arts & Humanities,Not Ranked,9999,6
Fachhochschule Brandenburg,Germany,Brandenburg,Fachhochschule,,"Fachhochschule Brandenburg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1200,https://www.th-brandenburg.de/startseite/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
"Evangelische Fachhochschule Rheinland-Westfalen-Lippe, Bochum",Germany,Bochum,Fachhochschule,,"Evangelische Fachhochschule Rheinland-Westfalen-Lippe, Bochum is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,600,https://www.evh-bochum.de/welcome.html,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
Fachhochschule Bingen,Germany,Bingen am Rhein,Fachhochschule,,"Fachhochschule Bingen is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1200,https://www.th-bingen.de/home/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
Internationale Hochschule Bad Honnef-Bonn (Priv. FH),Germany,Bad Honnef,Fachhochschule,,"Internationale Hochschule Bad Honnef-Bonn (Priv. FH) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1300,https://www.iubh.de/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
SRH Fachhochschule für Gesundheit Gera (Priv. FH),Germany,Gera,Fachhochschule,,"SRH Fachhochschule für Gesundheit Gera (Priv. FH) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,0,http://www.gesundheitshochschule.de,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
Fachhochschule Flensburg,Germany,Flensburg,Fachhochschule,,"Fachhochschule Flensburg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,200,http://www.fh-flensburg.de,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
German open Business School - HS für Wirtschaft und Verwaltung Berlin (Priv- FH),Germany,Berlin,Fachhochschule,,"German open Business School - HS für Wirtschaft und Verwaltung Berlin (Priv- FH) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,300,http://www.go-bs.de/,"Business, Administration, Law",Not Ranked,9999,6
Hochschule Neuss für Internationale Wirtschaft (Priv. FH),Germany,Neuss,Fachhochschule,,"Hochschule Neuss für Internationale Wirtschaft (Priv. FH) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,600,http://www.hs-neuss.de/,"Business, Administration, Law",Not Ranked,9999,6
Mathias Hochschule Rheine (Priv. FH),Germany,Rheine,Fachhochschule,,"Mathias Hochschule Rheine (Priv. FH) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,600,m,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,6
Professionshøjskolen UCC,Denmark,Søborg,Professionshøjskole,,"Professionshøjskolen UCC is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Danish / English,Yes,13900,https://ucc.dk/international,"Education, Health & Welfare",Not Ranked,9999,5
Tallinna Majanduskool,Estonia,Tallinn,kutseõppeasutus,,"Tallinna Majanduskool is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11800,http://www.tmk.edu.ee,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Võrumaa Kutsehariduskeskus,Estonia,Väimela,kutseõppeasutus,,"Võrumaa Kutsehariduskeskus is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5800,http://www.vkhk.ee,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
École nationale des greffes,France,Dijon,École juridique et administrative,,"École nationale des greffes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2870,http://www.eng.justice.fr/?,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
École supérieure d'arts et médias de Caen - Cherbourg,France,Caen,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure d'arts et médias de Caen - Cherbourg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3770,http://www.esam-c2.fr/,Arts & Humanities,Not Ranked,9999,3
École européenne supérieure de l'image,France,Angoulême,"École supérieure artistique, culturelle ou d'architecture",,"École européenne supérieure de l'image is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3670,http://www.eesi.eu/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'art de Bourges,France,Bourges,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'art de Bourges is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3970,http://www.ensa-bourges.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'art de Dijon,France,Dijon,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'art de Dijon is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2870,http://www.ensa-dijon.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'architecture de Marseille,France,Marseille,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Marseille is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4470,http://www.marseille.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École supérieure d'art et de design Marseille-Mediterranée,France,Marseille,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure d'art et de design Marseille-Mediterranée is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3770,http://www.esadmm.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'architecture de Bretagne,France,Rennes,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Bretagne is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4370,http://www.rennes.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École régionale des beaux-arts de Rennes,France,Rennes,"École supérieure artistique, culturelle ou d'architecture",,"École régionale des beaux-arts de Rennes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3270,https://www.eesab.fr/rennes,Arts & Humanities,Not Ranked,9999,3
École des hautes études en santé publique,France,Rennes,École juridique et administrative,,"École des hautes études en santé publique is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3370,http://www.ehesp.fr/,"Business, Administration, Law, Health & Welfare, Social Sciences, Journalism, Information",Not Ranked,9999,3
École nationale supérieure d'architecture et de paysage de Bordeaux,France,Talence,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture et de paysage de Bordeaux is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3470,http://www.bordeaux.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École des beaux-arts de Bordeaux,France,Bordeaux,"École supérieure artistique, culturelle ou d'architecture",,"École des beaux-arts de Bordeaux is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4070,http://www.ebabx.fr,Arts & Humanities,Not Ranked,9999,3
École nationale de la magistrature,France,Bordeaux,École juridique et administrative,,"École nationale de la magistrature is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4270,https://www.enm.justice.fr/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
École nationale supérieure d’architecture de Montpellier,France,Montpellier,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d’architecture de Montpellier is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2770,http://www.montpellier.archi.fr/,Arts & Humanities,Not Ranked,9999,3
Institut catholique de Toulouse,France,Toulouse,Établissement privé d'enseignement universitaire,,"Institut catholique de Toulouse is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3370,http://www.ict-toulouse.fr/fr/index.html,General programmes (field not identifiable from available data),Not Ranked,9999,3
Télécom Bretagne,France,Brest,École d'ingénieurs,,"Télécom Bretagne is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3170,http://www.telecom-bretagne.eu/ecole/,"Engineering, Manufacturing, Construction",Not Ranked,9999,3
Institut supérieur des Arts de Toulouse,France,Toulouse,"École supérieure artistique, culturelle ou d'architecture",,"Institut supérieur des Arts de Toulouse is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3570,http://www.isdat.eu/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'architecture de Toulouse,France,Toulouse,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Toulouse is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3670,http://www.toulouse.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École supérieure d'art et de design d'Orléans,France,Orléans,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure d'art et de design d'Orléans is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3970,http://www.esad-orleans.com/,Arts & Humanities,Not Ranked,9999,3
École nationale d'administration pénitentiaire,France,Agen,École juridique et administrative,,"École nationale d'administration pénitentiaire is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4270,http://www.enap.justice.fr/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
École régionale des beaux-arts d'Angers,France,Angers,"École supérieure artistique, culturelle ou d'architecture",,"École régionale des beaux-arts d'Angers is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4370,http://angers.esba-talm.fr/,Arts & Humanities,Not Ranked,9999,3
Facultés libres de l'Ouest,France,Angers,Établissement privé d'enseignement universitaire,,"Facultés libres de l'Ouest is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3870,http://www.uco.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'architecture de Saint-Étienne,France,Saint-Étienne,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Saint-Étienne is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2870,http://www.st-etienne.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'architecture de Nantes,France,Nantes,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Nantes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3070,http://www.nantes.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École supérieure des beaux-arts de Nantes Métropole,France,Nantes,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure des beaux-arts de Nantes Métropole is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2770,http://www.beauxartsnantes.fr/,Arts & Humanities,Not Ranked,9999,3
Institut régional d'administration de Nantes,France,Nantes,École juridique et administrative,,"Institut régional d'administration de Nantes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3270,http://www.ira-nantes.gouv.fr/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
École nationale supérieure des mines de Nantes,France,Nantes,École d'ingénieurs,,"École nationale supérieure des mines de Nantes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2870,http://www.mines-nantes.fr/en/,"Engineering, Manufacturing, Construction",Not Ranked,9999,3
École nationale supérieure d'architecture de Grenoble,France,Grenoble,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Grenoble is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2970,http://www.grenoble.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École supérieure d'art de Grenoble,France,Grenoble,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure d'art de Grenoble is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4370,http://www.esad-gv.fr/fr/,Arts & Humanities,Not Ranked,9999,3
École supérieure d'art et design Saint-Étienne,France,Saint-Étienne,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure d'art et design Saint-Étienne is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2970,http://www.esadse.fr/,Arts & Humanities,Not Ranked,9999,3
Institut catholique de Rennes,France,Bruz,Établissement privé d'enseignement universitaire,,"Institut catholique de Rennes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3870,http://www.icrennes.com/,General programmes (field not identifiable from available data),Not Ranked,9999,3
École des Avocats du Grand Ouest,France,Bruz,École juridique et administrative,,"École des Avocats du Grand Ouest is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4070,http://www.edago.fr/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
